question,features,discernatron_reliable,classifier,accuracy
"If someone searched for '...', would they want to read this article?","survey, page info, and traffic-by-weekday",TRUE,C5.0,0.6876
"If someone searched for '...', would they want to read this article?","survey, page info, and traffic-by-platform",TRUE,C5.0,0.6876
"If someone searched for '...', would they want to read this article?","survey, page info, traffic-by-weekday, and traffic-by-platform",TRUE,C5.0,0.7025
"If someone searched for '...', would they want to read this article?","survey, page info, and traffic-by-platform-and-weekday",TRUE,C5.0,0.6861
"If someone searched for '...', would they want to read this article?","survey, page info, pagesize, and pageviews",TRUE,C5.0,0.6966
"If someone searched for '...', would they want to read this article?","survey, page info, log10-pagesize, and log10-pageviews",TRUE,C5.0,0.7145
"If someone searched for '...', would they want to read this article?","survey, page info, standardized pagesize, and standardized pageviews",TRUE,C5.0,0.6996
"If someone searched for '...', would they want to read this article?","survey, page info, normalized pagesize, and normalized pageviews",TRUE,C5.0,0.6756
"If someone searched for '...', would they want to read this article?","survey, page info, standardized log10-pagesize, and standardized log10-pageviews",TRUE,C5.0,0.7145
"If someone searched for '...', would they want to read this article?","survey, page info, normalized log10-pagesize, and normalized log10-pageviews",TRUE,C5.0,0.7145
"If you searched for '...', would this article be a good result?",survey-only,TRUE,C5.0,0.6186
"If you searched for '...', would this article be a good result?",survey & page info,TRUE,C5.0,0.6637
"If you searched for '...', would this article be a good result?",survey & traffic,TRUE,C5.0,0.6411
"If you searched for '...', would this article be a good result?","survey, page info, and traffic",TRUE,C5.0,0.6276
"If you searched for '...', would this article be a good result?","survey, page info, and traffic-by-weekday",TRUE,C5.0,0.6607
"If you searched for '...', would this article be a good result?","survey, page info, and traffic-by-platform",TRUE,C5.0,0.6532
"If you searched for '...', would this article be a good result?","survey, page info, traffic-by-weekday, and traffic-by-platform",TRUE,C5.0,0.6336
"If you searched for '...', would this article be a good result?","survey, page info, and traffic-by-platform-and-weekday",TRUE,C5.0,0.6652
"If you searched for '...', would this article be a good result?","survey, page info, pagesize, and pageviews",TRUE,C5.0,0.7162
"If you searched for '...', would this article be a good result?","survey, page info, log10-pagesize, and log10-pageviews",TRUE,C5.0,0.6817
"If you searched for '...', would this article be a good result?","survey, page info, standardized pagesize, and standardized pageviews",TRUE,C5.0,0.7162
"If you searched for '...', would this article be a good result?","survey, page info, normalized pagesize, and normalized pageviews",TRUE,C5.0,0.7027
"If you searched for '...', would this article be a good result?","survey, page info, standardized log10-pagesize, and standardized log10-pageviews",TRUE,C5.0,0.6817
"If you searched for '...', would this article be a good result?","survey, page info, normalized log10-pagesize, and normalized log10-pageviews",TRUE,C5.0,0.6817
"If you searched for '...', would this article be relevant?",survey-only,TRUE,C5.0,0.6987
"If you searched for '...', would this article be relevant?",survey & page info,TRUE,C5.0,0.6807
"If you searched for '...', would this article be relevant?",survey & traffic,TRUE,C5.0,0.6777
"If you searched for '...', would this article be relevant?","survey, page info, and traffic",TRUE,C5.0,0.6657
"If you searched for '...', would this article be relevant?","survey, page info, and traffic-by-weekday",TRUE,C5.0,0.6657
"If you searched for '...', would this article be relevant?","survey, page info, and traffic-by-platform",TRUE,C5.0,0.6822
"If you searched for '...', would this article be relevant?","survey, page info, traffic-by-weekday, and traffic-by-platform",TRUE,C5.0,0.6687
"If you searched for '...', would this article be relevant?","survey, page info, and traffic-by-platform-and-weekday",TRUE,C5.0,0.6762
"If you searched for '...', would this article be relevant?","survey, page info, pagesize, and pageviews",TRUE,C5.0,0.6612
"If you searched for '...', would this article be relevant?","survey, page info, log10-pagesize, and log10-pageviews",TRUE,C5.0,0.6642
"If you searched for '...', would this article be relevant?","survey, page info, standardized pagesize, and standardized pageviews",TRUE,C5.0,0.6612
"If you searched for '...', would this article be relevant?","survey, page info, normalized pagesize, and normalized pageviews",TRUE,C5.0,0.6837
"If you searched for '...', would this article be relevant?","survey, page info, standardized log10-pagesize, and standardized log10-pageviews",TRUE,C5.0,0.6642
"If you searched for '...', would this article be relevant?","survey, page info, normalized log10-pagesize, and normalized log10-pageviews",TRUE,C5.0,0.6672
Would you click on this page when searching for '...'?,survey-only,TRUE,C5.0,0.6066
Would you click on this page when searching for '...'?,survey & page info,TRUE,C5.0,0.5916
Would you click on this page when searching for '...'?,survey & traffic,TRUE,C5.0,0.6006
Would you click on this page when searching for '...'?,"survey, page info, and traffic",TRUE,C5.0,0.6186
Would you click on this page when searching for '...'?,"survey, page info, and traffic-by-weekday",TRUE,C5.0,0.6216
Would you click on this page when searching for '...'?,"survey, page info, and traffic-by-platform",TRUE,C5.0,0.6366
Would you click on this page when searching for '...'?,"survey, page info, traffic-by-weekday, and traffic-by-platform",TRUE,C5.0,0.6051
Would you click on this page when searching for '...'?,"survey, page info, and traffic-by-platform-and-weekday",TRUE,C5.0,0.6096
Would you click on this page when searching for '...'?,"survey, page info, pagesize, and pageviews",TRUE,C5.0,0.6577
