question,features,discernatron_reliable,classifier,accuracy
Would you click on this page when searching for '...'?,"survey, page info, and traffic-by-platform-and-weekday",TRUE,dnn,0.6336
Would you click on this page when searching for '...'?,"survey, page info, pagesize, and pageviews",TRUE,dnn,0.6607
Would you click on this page when searching for '...'?,"survey, page info, log10-pagesize, and log10-pageviews",TRUE,dnn,0.6381
Would you click on this page when searching for '...'?,"survey, page info, standardized pagesize, and standardized pageviews",TRUE,dnn,0.6517
Would you click on this page when searching for '...'?,"survey, page info, normalized pagesize, and normalized pageviews",TRUE,dnn,0.6456
Would you click on this page when searching for '...'?,"survey, page info, standardized log10-pagesize, and standardized log10-pageviews",TRUE,dnn,0.6517
Would you click on this page when searching for '...'?,"survey, page info, normalized log10-pagesize, and normalized log10-pageviews",TRUE,dnn,0.6532
"If someone searched for '...', would they want to read this article?",survey-only,FALSE,dnn,0.6756
"If someone searched for '...', would they want to read this article?",survey & page info,FALSE,dnn,0.6726
"If someone searched for '...', would they want to read this article?",survey & traffic,FALSE,dnn,0.6936
"If someone searched for '...', would they want to read this article?","survey, page info, and traffic",FALSE,dnn,0.6906
"If someone searched for '...', would they want to read this article?","survey, page info, and traffic-by-weekday",FALSE,dnn,0.6771
"If someone searched for '...', would they want to read this article?","survey, page info, and traffic-by-platform",FALSE,dnn,0.6562
"If someone searched for '...', would they want to read this article?","survey, page info, traffic-by-weekday, and traffic-by-platform",FALSE,dnn,0.6801
"If someone searched for '...', would they want to read this article?","survey, page info, and traffic-by-platform-and-weekday",FALSE,dnn,0.6741
"If someone searched for '...', would they want to read this article?","survey, page info, pagesize, and pageviews",FALSE,dnn,0.6846
"If someone searched for '...', would they want to read this article?","survey, page info, log10-pagesize, and log10-pageviews",FALSE,dnn,0.6816
"If someone searched for '...', would they want to read this article?","survey, page info, standardized pagesize, and standardized pageviews",FALSE,dnn,0.6756
"If someone searched for '...', would they want to read this article?","survey, page info, normalized pagesize, and normalized pageviews",FALSE,dnn,0.6756
"If someone searched for '...', would they want to read this article?","survey, page info, standardized log10-pagesize, and standardized log10-pageviews",FALSE,dnn,0.6816
"If someone searched for '...', would they want to read this article?","survey, page info, normalized log10-pagesize, and normalized log10-pageviews",FALSE,dnn,0.6786
"If you searched for '...', would this article be a good result?",survey-only,FALSE,dnn,0.6502
"If you searched for '...', would this article be a good result?",survey & page info,FALSE,dnn,0.6532
"If you searched for '...', would this article be a good result?",survey & traffic,FALSE,dnn,0.6471
"If you searched for '...', would this article be a good result?","survey, page info, and traffic",FALSE,dnn,0.6577
"If you searched for '...', would this article be a good result?","survey, page info, and traffic-by-weekday",FALSE,dnn,0.6486
"If you searched for '...', would this article be a good result?","survey, page info, and traffic-by-platform",FALSE,dnn,0.6471
"If you searched for '...', would this article be a good result?","survey, page info, traffic-by-weekday, and traffic-by-platform",FALSE,dnn,0.6411
"If you searched for '...', would this article be a good result?","survey, page info, and traffic-by-platform-and-weekday",FALSE,dnn,0.6471
"If you searched for '...', would this article be a good result?","survey, page info, pagesize, and pageviews",FALSE,dnn,0.6592
"If you searched for '...', would this article be a good result?","survey, page info, log10-pagesize, and log10-pageviews",FALSE,dnn,0.6517
"If you searched for '...', would this article be a good result?","survey, page info, standardized pagesize, and standardized pageviews",FALSE,dnn,0.6592
"If you searched for '...', would this article be a good result?","survey, page info, normalized pagesize, and normalized pageviews",FALSE,dnn,0.6517
"If you searched for '...', would this article be a good result?","survey, page info, standardized log10-pagesize, and standardized log10-pageviews",FALSE,dnn,0.6622
"If you searched for '...', would this article be a good result?","survey, page info, normalized log10-pagesize, and normalized log10-pageviews",FALSE,dnn,0.6652
"If you searched for '...', would this article be relevant?",survey-only,FALSE,dnn,0.6537
"If you searched for '...', would this article be relevant?",survey & page info,FALSE,dnn,0.6582
"If you searched for '...', would this article be relevant?",survey & traffic,FALSE,dnn,0.6597
"If you searched for '...', would this article be relevant?","survey, page info, and traffic",FALSE,dnn,0.6837
"If you searched for '...', would this article be relevant?","survey, page info, and traffic-by-weekday",FALSE,dnn,0.6747
"If you searched for '...', would this article be relevant?","survey, page info, and traffic-by-platform",FALSE,dnn,0.6747
"If you searched for '...', would this article be relevant?","survey, page info, traffic-by-weekday, and traffic-by-platform",FALSE,dnn,0.6852
"If you searched for '...', would this article be relevant?","survey, page info, and traffic-by-platform-and-weekday",FALSE,dnn,0.6792
"If you searched for '...', would this article be relevant?","survey, page info, pagesize, and pageviews",FALSE,dnn,0.6777
"If you searched for '...', would this article be relevant?","survey, page info, log10-pagesize, and log10-pageviews",FALSE,dnn,0.6792
"If you searched for '...', would this article be relevant?","survey, page info, standardized pagesize, and standardized pageviews",FALSE,dnn,0.6717
"If you searched for '...', would this article be relevant?","survey, page info, normalized pagesize, and normalized pageviews",FALSE,dnn,0.6657
"If you searched for '...', would this article be relevant?","survey, page info, standardized log10-pagesize, and standardized log10-pageviews",FALSE,dnn,0.6732
"If you searched for '...', would this article be relevant?","survey, page info, normalized log10-pagesize, and normalized log10-pageviews",FALSE,dnn,0.6672
Would you click on this page when searching for '...'?,survey-only,FALSE,dnn,0.6532
Would you click on this page when searching for '...'?,survey & page info,FALSE,dnn,0.6502
Would you click on this page when searching for '...'?,survey & traffic,FALSE,dnn,0.6396
Would you click on this page when searching for '...'?,"survey, page info, and traffic",FALSE,dnn,0.6547
Would you click on this page when searching for '...'?,"survey, page info, and traffic-by-weekday",FALSE,dnn,0.6231
Would you click on this page when searching for '...'?,"survey, page info, and traffic-by-platform",FALSE,dnn,0.6562
Would you click on this page when searching for '...'?,"survey, page info, traffic-by-weekday, and traffic-by-platform",FALSE,dnn,0.6291
Would you click on this page when searching for '...'?,"survey, page info, and traffic-by-platform-and-weekday",FALSE,dnn,0.6471
Would you click on this page when searching for '...'?,"survey, page info, pagesize, and pageviews",FALSE,dnn,0.6126
Would you click on this page when searching for '...'?,"survey, page info, log10-pagesize, and log10-pageviews",FALSE,dnn,0.6336
Would you click on this page when searching for '...'?,"survey, page info, standardized pagesize, and standardized pageviews",FALSE,dnn,0.6321
Would you click on this page when searching for '...'?,"survey, page info, normalized pagesize, and normalized pageviews",FALSE,dnn,0.6186
Would you click on this page when searching for '...'?,"survey, page info, standardized log10-pagesize, and standardized log10-pageviews",FALSE,dnn,0.6261
Would you click on this page when searching for '...'?,"survey, page info, normalized log10-pagesize, and normalized log10-pageviews",FALSE,dnn,0.6261
